Start,Finish,Distance (mi),Flights Climbed (count),Steps (count)
12/24/2015 0:00,12/25/2015 0:00,3.861977303,9,8029
12/25/2015 0:00,12/26/2015 0:00,2.767463016,3,6963
12/26/2015 0:00,12/27/2015 0:00,3.867178179,3,8559
12/27/2015 0:00,12/28/2015 0:00,2.710464637,10,6560
12/28/2015 0:00,12/29/2015 0:00,2.908607482,12,6369
12/29/2015 0:00,12/30/2015 0:00,4.640636185,18,9850
12/30/2015 0:00,12/31/2015 0:00,4.470336982,15,9506
12/31/2015 0:00,1/1/2016 0:00,5.526905611,12,11731.37665
1/1/2016 0:00,1/2/2016 0:00,6.948556441,6,15269.62335
1/2/2016 0:00,1/3/2016 0:00,3.928395669,22,8248
1/3/2016 0:00,1/4/2016 0:00,2.700000746,13,6234
1/4/2016 0:00,1/5/2016 0:00,4.968515122,19,10321
1/5/2016 0:00,1/6/2016 0:00,3.822066631,23,8057
1/6/2016 0:00,1/7/2016 0:00,4.153164271,13,8908
1/7/2016 0:00,1/8/2016 0:00,4.255752654,12,8760
1/8/2016 0:00,1/9/2016 0:00,3.608116102,15,7532
1/9/2016 0:00,1/10/2016 0:00,5.420376253,15,11654
1/10/2016 0:00,1/11/2016 0:00,3.114455331,17,6801
1/11/2016 0:00,1/12/2016 0:00,3.694530194,13,8783
1/12/2016 0:00,1/13/2016 0:00,4.073964298,13,8631
1/13/2016 0:00,1/14/2016 0:00,3.760557097,21,7954
1/14/2016 0:00,1/15/2016 0:00,3.817940726,14,7883
1/15/2016 0:00,1/16/2016 0:00,4.989368339,10,10165
1/16/2016 0:00,1/17/2016 0:00,4.604043635,14,9435
1/17/2016 0:00,1/18/2016 0:00,6.673352621,24,15464
1/18/2016 0:00,1/19/2016 0:00,2.899653523,12,6300
1/19/2016 0:00,1/20/2016 0:00,2.413399497,16,5587
1/20/2016 0:00,1/21/2016 0:00,3.205933598,10,6925
1/21/2016 0:00,1/22/2016 0:00,2.869262258,15,5967
1/22/2016 0:00,1/23/2016 0:00,4.560187256,20,9452
1/23/2016 0:00,1/24/2016 0:00,3.033012209,18,6776
1/24/2016 0:00,1/25/2016 0:00,4.003830132,12,8549
1/25/2016 0:00,1/26/2016 0:00,4.63979112,20,10013
1/26/2016 0:00,1/27/2016 0:00,3.498537292,18,7213
1/27/2016 0:00,1/28/2016 0:00,4.512646147,16,9570
1/28/2016 0:00,1/29/2016 0:00,5.693102283,12,11987
1/29/2016 0:00,1/30/2016 0:00,3.607358029,14,7282
1/30/2016 0:00,1/31/2016 0:00,4.062021544,13,8546
1/31/2016 0:00,2/1/2016 0:00,3.173230832,5,6446
2/1/2016 0:00,2/2/2016 0:00,3.823651127,16,7871
2/2/2016 0:00,2/3/2016 0:00,3.541877933,18,7363
2/3/2016 0:00,2/4/2016 0:00,3.208506075,9,6581
2/4/2016 0:00,2/5/2016 0:00,5.42569519,10,11443
2/5/2016 0:00,2/6/2016 0:00,4.503072226,14,9810
2/6/2016 0:00,2/7/2016 0:00,4.324164213,14,8824
2/7/2016 0:00,2/8/2016 0:00,4.042386214,12,8596
2/8/2016 0:00,2/9/2016 0:00,6.366289619,29,12997
2/9/2016 0:00,2/10/2016 0:00,4.562765947,21,9365
2/10/2016 0:00,2/11/2016 0:00,3.624060487,18,8070
2/11/2016 0:00,2/12/2016 0:00,5.746123886,19,12028
2/12/2016 0:00,2/13/2016 0:00,2.652496918,12,5736
2/13/2016 0:00,2/14/2016 0:00,2.234568868,4,4500
2/14/2016 0:00,2/15/2016 0:00,0.865594926,1,1698
2/15/2016 0:00,2/16/2016 0:00,1.36374821,4,2882
2/16/2016 0:00,2/17/2016 0:00,3.657049083,21,7694
2/17/2016 0:00,2/18/2016 0:00,3.784461246,10,8095
2/18/2016 0:00,2/19/2016 0:00,5.249219558,15,11385
2/19/2016 0:00,2/20/2016 0:00,4.435490486,15,8933
2/20/2016 0:00,2/21/2016 0:00,4.289083005,12,8935
2/21/2016 0:00,2/22/2016 0:00,3.761284101,11,7979
2/22/2016 0:00,2/23/2016 0:00,4.710049957,19,10384
